date,day_of_week,hour,department,is_holiday,patient_count
2026-02-01,6,11,Neurology,1,18
2026-02-24,1,14,Pediatrics,0,69
2025-09-21,6,13,General Medicine,1,9
2026-04-05,6,16,Pediatrics,1,6
2025-06-04,2,15,Dermatology,0,48
2026-02-22,6,13,Pediatrics,1,10
2025-07-20,6,13,Dermatology,1,5
2025-05-07,2,15,Pediatrics,0,62
2025-08-16,5,14,General Medicine,0,64
2026-01-10,5,10,Neurology,0,55
2025-06-23,0,13,Orthopedics,0,63
2025-07-13,6,13,Orthopedics,1,18
2026-01-01,3,13,Pediatrics,0,73
2025-12-22,0,17,Pediatrics,0,91
2025-04-29,1,10,Neurology,0,84
2026-01-11,6,10,Cardiology,1,18
2025-11-03,0,14,Dermatology,0,32
2026-01-31,5,14,Orthopedics,0,24
2025-07-20,6,9,General Medicine,1,15
2025-09-07,6,10,Neurology,1,13
2026-03-27,4,8,General Medicine,0,69
2025-05-30,4,16,Pediatrics,0,42
2025-06-25,2,15,Pediatrics,0,72
2026-01-30,4,11,General Medicine,0,100
2025-11-22,5,17,Cardiology,0,44
2026-03-07,5,14,Neurology,0,36
2025-07-20,6,11,Orthopedics,1,15
2025-05-17,5,13,Orthopedics,0,41
2026-04-10,4,14,Pediatrics,0,46
2026-03-19,3,14,Cardiology,0,42
2025-09-03,2,11,Neurology,0,82
2026-02-15,6,14,General Medicine,1,6
2026-02-28,5,13,Dermatology,0,41
2026-02-07,5,14,General Medicine,0,32
2025-06-29,6,11,Dermatology,1,17
2026-03-06,4,17,General Medicine,0,61
2026-03-07,5,16,Pediatrics,0,48
2025-10-29,2,15,Orthopedics,0,49
2025-09-01,0,9,Pediatrics,0,120
2026-03-15,6,10,Orthopedics,1,17
2026-04-03,4,9,General Medicine,0,88
2025-11-30,6,13,Dermatology,1,5
2026-04-06,0,12,Orthopedics,0,64
2025-12-24,2,8,Dermatology,0,34
2026-03-30,0,17,Orthopedics,0,66
2025-05-26,0,10,Neurology,0,84
2025-12-04,3,16,General Medicine,0,42
2025-05-03,5,15,Pediatrics,0,44
2026-03-23,0,10,Dermatology,0,74
2025-12-17,2,9,Orthopedics,0,88
2025-05-12,0,12,Orthopedics,0,67
2025-06-23,0,8,Dermatology,0,58
2026-01-22,3,13,General Medicine,0,42
2025-11-13,3,8,General Medicine,0,63
2025-11-01,5,12,Dermatology,0,15
2025-09-01,0,16,Neurology,0,33
2025-10-22,2,12,Cardiology,0,47
2025-06-07,5,16,General Medicine,0,46
2025-05-04,6,9,Neurology,1,15
2025-06-17,1,16,Dermatology,0,72
2026-02-17,1,8,Pediatrics,0,63
2025-12-11,3,8,Pediatrics,0,39
2025-08-05,1,13,Orthopedics,0,53
2025-11-29,5,10,Pediatrics,0,78
2025-07-30,2,12,Orthopedics,0,25
2025-08-30,5,16,Orthopedics,0,37
2025-11-21,4,17,General Medicine,0,66
2025-08-22,4,16,Pediatrics,0,74
2026-03-04,2,15,General Medicine,0,75
2026-03-19,3,10,General Medicine,0,87
2026-03-30,0,8,General Medicine,0,62
2025-08-20,2,11,General Medicine,0,98
2025-08-04,0,17,General Medicine,0,76
2025-08-09,5,8,Pediatrics,0,61
2025-09-30,1,11,Cardiology,0,128
2026-01-01,3,14,Cardiology,0,10
2025-08-06,2,11,Pediatrics,0,110
2025-05-28,2,15,Cardiology,0,35
2025-12-23,1,12,General Medicine,0,69
2025-08-23,5,14,Dermatology,0,50
2026-01-15,3,11,Orthopedics,0,60
2025-11-23,6,14,Orthopedics,1,14
2026-03-10,1,16,Dermatology,0,84
2025-05-25,6,11,Pediatrics,1,14
2025-08-13,2,13,Cardiology,0,24
2025-05-28,2,9,General Medicine,0,79
2025-04-13,6,12,Neurology,1,6
2026-01-27,1,12,Orthopedics,0,84
2025-09-03,2,15,Cardiology,0,44
2025-10-20,0,17,Dermatology,0,72
2025-08-27,2,9,General Medicine,0,107
2026-02-14,5,10,Neurology,0,58
2025-07-14,0,17,Cardiology,0,48
2025-09-29,0,8,Orthopedics,0,70
2025-10-24,4,16,Pediatrics,0,49
2026-02-16,0,11,Dermatology,0,89
2025-06-28,5,16,Cardiology,0,29
2026-02-16,0,12,Dermatology,0,69
2025-06-04,2,9,Pediatrics,0,96
2026-03-01,6,9,Dermatology,1,15
2025-10-25,5,17,Cardiology,0,18
2025-06-05,3,14,Orthopedics,0,18
2025-10-16,3,17,Pediatrics,0,60
2026-03-15,6,15,Pediatrics,1,17
2026-03-11,2,11,Orthopedics,0,83
2025-11-08,5,11,Cardiology,0,58
2025-11-25,1,8,General Medicine,0,66
2025-04-24,3,13,Cardiology,0,27
2026-04-10,4,9,Dermatology,0,77
2025-11-19,2,11,Dermatology,0,75
2025-09-08,0,8,Orthopedics,0,69
2026-03-30,0,12,Dermatology,0,57
2025-11-03,0,9,Dermatology,0,98
2026-02-04,2,17,Neurology,0,32
2025-04-25,4,8,Orthopedics,0,16
2025-10-05,6,14,Pediatrics,1,12
2026-01-02,4,9,Pediatrics,0,83
2025-08-03,6,13,General Medicine,1,7
2025-07-22,1,11,Cardiology,0,84
2026-02-11,2,17,General Medicine,0,23
2025-12-22,0,15,General Medicine,0,86
2026-03-22,6,12,Pediatrics,1,19
2025-11-20,3,10,Orthopedics,0,80
2025-04-21,0,15,Dermatology,0,52
2025-10-23,3,16,Dermatology,0,39
2025-08-16,5,8,Neurology,0,39
2026-02-10,1,13,General Medicine,0,77
2025-06-24,1,11,Orthopedics,0,77
2025-12-15,0,9,Orthopedics,0,80
2025-08-07,3,10,Neurology,0,69
2026-01-28,2,10,Dermatology,0,83
2025-05-23,4,16,Orthopedics,0,33
2025-05-08,3,15,Neurology,0,20
2025-10-17,4,15,Cardiology,0,35
2025-12-19,4,12,Orthopedics,0,22
2026-01-19,0,16,Cardiology,0,63
2026-02-26,3,8,Pediatrics,0,67
2026-04-10,4,12,General Medicine,0,25
2025-10-11,5,16,Orthopedics,0,19
2025-07-06,6,13,Orthopedics,1,13
2026-03-11,2,10,Orthopedics,0,71
2025-05-21,2,17,Pediatrics,0,52
2025-07-25,4,13,Cardiology,0,30
2025-08-11,0,12,Orthopedics,0,82
2025-12-03,2,12,Cardiology,0,14
2025-08-23,5,11,General Medicine,0,97
2026-01-15,3,17,Cardiology,0,33
2026-02-06,4,15,Pediatrics,0,59
2026-04-02,3,9,Orthopedics,0,92
2025-06-24,1,10,Orthopedics,0,83
2026-03-16,0,14,Neurology,0,73
2025-08-19,1,13,General Medicine,0,68
2025-06-28,5,11,Dermatology,0,62
2025-11-27,3,15,Neurology,0,49
2025-11-16,6,10,General Medicine,1,19
2025-10-20,0,11,General Medicine,0,88
2025-09-17,2,12,Dermatology,0,45
2025-07-26,5,15,Pediatrics,0,66
2025-10-04,5,15,Orthopedics,0,42
2025-08-30,5,16,Pediatrics,0,43
2025-11-03,0,17,Orthopedics,0,50
2025-12-02,1,10,Pediatrics,0,101
2025-09-10,2,8,Orthopedics,0,12
2025-05-01,3,15,Orthopedics,0,43
2025-10-06,0,13,Orthopedics,0,63
2025-11-26,2,16,Pediatrics,0,55
2026-01-01,3,13,Neurology,0,15
2025-04-20,6,10,General Medicine,1,7
2026-01-11,6,15,Orthopedics,1,16
2025-04-24,3,12,General Medicine,0,45
2026-01-05,0,13,Orthopedics,0,81
2025-12-22,0,15,Orthopedics,0,58
2025-12-01,0,9,Neurology,0,113
2025-07-18,4,14,Cardiology,0,23
2025-12-13,5,15,Neurology,0,12
2025-09-13,5,14,General Medicine,0,50
2025-10-02,3,10,Pediatrics,0,77
2026-03-08,6,17,Dermatology,1,14
2026-01-14,2,11,Neurology,0,62
2025-07-06,6,16,Pediatrics,1,6
2025-08-22,4,8,Cardiology,0,38
2025-12-15,0,13,Dermatology,0,40
2025-10-26,6,8,Neurology,1,18
2025-05-18,6,17,General Medicine,1,12
2025-06-07,5,14,Cardiology,0,16
2025-07-14,0,16,Neurology,0,44
2025-06-18,2,16,Orthopedics,0,46
2026-02-24,1,12,General Medicine,0,107
2025-05-31,5,11,Pediatrics,0,82
2026-01-31,5,11,Pediatrics,0,91
2025-08-30,5,15,General Medicine,0,66
2025-09-14,6,10,Dermatology,1,7
2026-02-27,4,12,Pediatrics,0,70
2025-11-25,1,8,Dermatology,0,32
2025-08-06,2,9,Neurology,0,80
2026-02-12,3,17,General Medicine,0,27
2025-07-18,4,12,Pediatrics,0,44
2025-11-04,1,14,Orthopedics,0,65
2026-03-29,6,11,Cardiology,1,20
2025-05-12,0,11,Cardiology,0,111
2026-01-07,2,9,Dermatology,0,59
